ts_code,trade_date,is_bull,ma_cv_10,atr_pct,vol_ratio,pct_chg,turnover_rate,total_mv,pe_ttm,pb,ret_5,ret_10,ret_20,mv_bin,pct_bin,vr_bin
000885.SZ,2023-01-31,1,0.018385125921308386,0.017324350336862377,1.7124431229345256,2.3645,1.0856,667119.3,6.4327,1.0532,0.020211742059672577,0.03657362848893153,0.046198267564966145,中小,2-3%,1.5-2
000885.SZ,2023-04-18,1,0.015415178716800582,0.02348083323061752,1.5903948106927888,2.1145,1.8899,744168.69,7.1757,1.1748,-0.02761000862812768,0.18636755823986206,0.15616911130284739,中小,2-3%,1.5-2
000885.SZ,2023-12-04,0,0.004359471031854109,0.01260875047282812,1.8921575971449365,2.2563,1.0779,727474.66,6.595,0.9956,-0.03971756398940862,-0.0176522506619593,0.011473962930273585,中小,2-3%,1.5-2
000885.SZ,2024-08-13,0,0.012938873569714574,0.021199710913033003,2.3168596408621878,2.9514,0.7706,761504.81,7.6825,1.0068,-0.01433389544688024,-0.06155143338954461,-0.11804384485666097,中小,2-3%,2-3
000885.SZ,2025-04-25,0,0.009922854151979575,0.022064860426929386,4.033832899303944,8.3268,3.3405,893772.93,7.5016,1.0211,-0.025143678160919558,-0.001436781609195359,0.0007183908045977905,中小,>7%,3-5
000885.SZ,2025-07-14,1,0.008215931672578256,0.01547116736990154,1.853491234746536,2.3758,1.1235,913035.27,7.6633,1.0711,0.006329113924050667,-0.0035161744022503827,0.005625879043600568,中小,2-3%,1.5-2
000885.SZ,2025-08-12,1,0.011792052071719907,0.0177714677371977,3.504857554852586,2.028,2.6927,936792.17,7.5533,1.06,0.03152844413982181,0.061686086360520864,0.03564084989718985,中大,2-3%,3-5
000885.SZ,2025-08-14,1,0.012557692947798692,0.01966804183056703,2.861216155931449,3.1163,2.685,956054.52,7.7086,1.0818,0.00738750839489577,0.009402283411685586,0.01074546675621213,中大,3-5%,2-3
000885.SZ,2026-04-23,1,0.00915880369015031,0.019904695721234975,4.0830867610645,5.4212,3.8025,923950.6,7.2334,0.9435,-0.01945795691452401,,,中小,5-7%,3-5
000886.SZ,2021-06-08,1,0.009747377663372836,0.02376063361689644,5.605852990045659,4.9569,4.3042,481559.38,41.5037,1.6955,-0.03490759753593431,-0.05954825462012325,-0.08008213552361387,小盘,3-5%,>5
000886.SZ,2021-12-21,1,0.01626242723706232,0.01600985221674878,3.164959736815429,2.5253,1.4459,401464.28,57.1455,1.4151,-0.024630541871921152,-0.01477832512315258,-0.029556650246305383,小盘,2-3%,3-5
000886.SZ,2023-12-06,0,0.00745301658877284,0.020454545454545447,1.5001519847100095,3.0445,1.3075,435084.45,25.9624,1.4452,-0.036363636363636376,-0.06590909090909092,-0.054545454545454564,小盘,3-5%,1.5-2
000887.SZ,2020-07-03,1,0.008988392480793268,0.02403282532239157,2.2200625640515494,4.7912,3.2945,1041372.02,22.8128,1.1906,0.10199296600234486,0.00703399765533419,0.09964830011723347,中大,3-5%,2-3
000887.SZ,2025-07-16,1,0.011169104197467427,0.022763835263835276,1.9422976599202766,2.8969,4.8353,2338085.79,18.0786,1.7699,0.01182432432432412,-0.019144144144144115,0.08108108108108092,大盘,2-3%,1.5-2
000887.SZ,2025-07-17,1,0.011066899849067861,0.023140495867768607,1.6498980352456327,2.1959,4.2007,2389428.89,18.4756,1.8087,0.000550964187327807,-0.030853994490358083,0.0440771349862259,大盘,2-3%,1.5-2
000887.SZ,2025-07-21,1,0.011547059684953875,0.024521394249103802,1.6635172716180193,3.9978,4.547,2465785.29,19.0661,1.8665,-0.05178857447944463,-0.011745862253069839,0.14949279231179924,大盘,3-5%,1.5-2
000887.SZ,2025-12-24,1,0.019138142213901595,0.024302062374245474,1.9866754496164811,3.9817,3.9519,2991064.7,19.8486,2.1195,0.021566901408450745,0.016285211267605737,0.027288732394366244,大盘,3-5%,1.5-2
000888.SZ,2020-07-08,1,0.01932372430970333,0.016276346604215456,1.664417445950568,2.0067,2.0758,321416.99,28.9823,1.3466,0.09344262295081962,0.014754098360655776,-0.011475409836065431,小盘,2-3%,1.5-2
000888.SZ,2020-07-15,1,0.019164823460742712,0.0239880059970015,5.264366955377841,7.7544,10.7939,351451.03,31.6904,1.4725,-0.07196401799100438,-0.11094452773613195,-0.08095952023988007,小盘,>7%,>5
000888.SZ,2020-09-14,1,0.016672484569983832,0.0249609984399376,1.8176853567142257,3.7217,3.5193,337751.29,174.7296,1.4354,0.0015600624024960652,-0.05928237129485181,-0.07644305772230897,小盘,3-5%,1.5-2
000888.SZ,2021-08-25,0,0.01865217195551678,0.017483321831147914,1.565599845336332,2.6446,1.3917,327213.03,25.9911,1.332,0.0370370370370372,0.08856682769726243,0.05797101449275366,小盘,2-3%,1.5-2
000888.SZ,2021-08-26,0,0.01789444789581544,0.018867924528301883,2.0348163196737237,2.4155,1.9106,335116.73,26.6189,1.3642,0.014150943396226356,0.07861635220125796,-0.004716981132075526,小盘,2-3%,2-3
000888.SZ,2021-09-03,0,0.018635473076125775,0.023339122883195826,1.8767015467859745,2.0155,2.0513,346708.82,27.5397,1.4114,0.028875379939209633,-0.003039513677811634,-0.04863221884498481,小盘,2-3%,1.5-2
000888.SZ,2021-12-21,1,0.012222384165518744,0.014171428571428574,2.0387024407526573,2.459,1.9853,329320.68,38.9843,1.3348,0.022399999999999975,0.10559999999999992,0.13280000000000003,小盘,2-3%,2-3
000888.SZ,2021-12-27,1,0.00871150731371623,0.016681594267801178,1.591720182437168,2.2436,1.6277,336170.55,39.7952,1.3626,0.09561128526645768,0.059561128526645746,0.12382445141065834,小盘,2-3%,1.5-2
000888.SZ,2025-03-14,1,0.019729482583207655,0.01988104416785992,1.5416149467454985,2.2065,3.3382,683406.29,32.4895,2.5997,0.05474171164225128,0.10331534309946022,0.16653816499614504,中小,2-3%,1.5-2
000888.SZ,2025-03-19,1,0.016683973620168345,0.023668011037996182,2.7202979248631816,2.047,6.8738,709225.03,33.717,2.6979,0.15304606240713214,0.0690936106983655,0.14635958395245163,中小,2-3%,2-3
000888.SZ,2025-06-04,1,0.011647951852429124,0.023997741389045736,3.6405958649327,10.0,8.9516,799854.08,36.5019,2.9863,-0.03689064558629784,-0.07180500658761524,-0.07444005270092224,中小,>7%,3-5
000888.SZ,2025-07-30,1,0.006593481308983161,0.02454287669893421,2.578312856966494,3.617,7.5992,769820.04,35.1313,3.0229,-0.03627652292950034,-0.05817932922655711,-0.03696098562628336,中小,3-5%,2-3
000888.SZ,2025-08-29,1,0.006414596515510612,0.01563733228097867,1.9606543383667112,2.695,6.0023,762970.17,34.1529,2.9243,0.006215469613259694,-0.0034530386740332375,-0.08080110497237569,中小,2-3%,1.5-2
000888.SZ,2025-09-04,1,0.0076270805323551474,0.02065345368916796,1.826489777642559,2.5352,6.2798,767185.47,34.3416,2.9405,-0.01579670329670335,0.018543956043955978,-0.1339285714285715,中小,2-3%,1.5-2
000888.SZ,2026-01-29,1,0.016745895851654025,0.023481235745386686,1.7522921255108328,4.1572,4.9284,726086.25,32.2804,2.7095,0.03265602322206096,-0.01669085631349776,-0.00870827285921616,中小,3-5%,1.5-2
000893.SZ,2023-01-18,1,0.012116837964056512,0.023613174204784104,2.473977628490263,3.1054,1.7028,2591368.53,15.2646,2.6719,0.040516314091072037,0.039799211186805294,0.02545715310147001,大盘,3-5%,2-3
000893.SZ,2023-01-31,1,0.011415803309688843,0.023062139654067903,2.3277281229665663,3.2407,1.9382,2693573.82,15.8666,2.7773,-0.002069679199724006,0.012073128665057054,-0.016902380131079586,大盘,3-5%,2-3
000893.SZ,2023-12-04,0,0.007747886193749961,0.024037003336366387,1.7341542846068303,3.8971,1.1511,2625769.14,17.4577,2.3902,-0.028308563340410542,-0.04175513092710559,-0.1263269639065817,大盘,3-5%,1.5-2
000895.SZ,2022-12-01,1,0.011163400388505907,0.02006763124341703,1.7280774788981235,2.019,0.4188,8928431.94,16.2964,4.3995,-0.00465657741559955,-0.013581684128831872,-0.012417539774932096,大盘,2-3%,1.5-2
000895.SZ,2023-04-18,1,0.006379664911356807,0.014473331546502275,2.18874140506774,2.4212,0.556,9233322.13,16.4268,4.2252,-0.02026266416510314,-0.06604127579737329,-0.06191369606003749,大盘,2-3%,2-3
000895.SZ,2023-08-16,0,0.010642719671123822,0.014280146976951348,2.7022001141102328,2.8869,0.6358,8890320.67,15.523,4.1885,-0.02221356196414659,0.045596258768511255,0.030787217459080196,大盘,2-3%,2-3
000895.SZ,2024-09-19,0,0.006353922928140092,0.022402460350961818,1.6860108475009812,3.3144,0.345,8207782.41,18.1893,4.4541,0.05276487969607424,0.07007176023638673,0.04347826086956519,大盘,3-5%,1.5-2
